person_key,role,person_id,name,career_pitches
umpire-427013,umpire,427013,Lance Barksdale,45286
umpire-427019,umpire,427019,Ted Barrett,32795
umpire-427044,umpire,427044,CB Bucknor,42394
umpire-427053,umpire,427053,Mark Carlson,40373
umpire-427058,umpire,427058,Gary Cederstrom,22828
umpire-427081,umpire,427081,Eric Cooper,20645
umpire-427090,umpire,427090,Fieldin Culbreth,23463
umpire-427093,umpire,427093,Phil Cuzzi,41517
umpire-427095,umpire,427095,Kerwin Danley,21896
umpire-427099,umpire,427099,Bob Davidson,8651
umpire-427103,umpire,427103,Gerry Davis,22840
umpire-427108,umpire,427108,Dana DeMuth,13984
umpire-427113,umpire,427113,Laz Diaz,44296
umpire-427115,umpire,427115,Mike DiMuro,8573
umpire-427128,umpire,427128,Rob Drake,36773
umpire-427129,umpire,427129,Bruce Dreckman,36693
umpire-427139,umpire,427139,Doug Eddings,45238
umpire-427144,umpire,427144,Paul Emmel,21676
umpire-427156,umpire,427156,Mike Everitt,18574
umpire-427164,umpire,427164,Andy Fletcher,43544
umpire-427168,umpire,427168,Marty Foster,23208
umpire-427184,umpire,427184,Greg Gibson,26733
umpire-427192,umpire,427192,Brian Gorman,17079
umpire-427197,umpire,427197,Chris Guccione,44132
umpire-427206,umpire,427206,Tom Hallion,25938
umpire-427220,umpire,427220,Angel Hernandez,36133
umpire-427224,umpire,427224,Ed Hickox,24925
umpire-427229,umpire,427229,John Hirschbeck,8003
umpire-427235,umpire,427235,Sam Holbrook,26776
umpire-427243,umpire,427243,Marvin Hudson,46390
umpire-427248,umpire,427248,Dan Iassogna,43202
umpire-427261,umpire,427261,Jim Joyce,6983
umpire-427269,umpire,427269,Jeff Kellogg,17536
umpire-427286,umpire,427286,Brian Knight,33727
umpire-427292,umpire,427292,Ron Kulpa,34751
umpire-427299,umpire,427299,Jerry Layne,20444
umpire-427315,umpire,427315,Alfonso Márquez,46604
umpire-427339,umpire,427339,Jerry Meals,33871
umpire-427344,umpire,427344,Bill Miller,47280
umpire-427361,umpire,427361,Paul Nauert,22130
umpire-427362,umpire,427362,Jeff Nelson,36845
umpire-427366,umpire,427366,Brian O'Nora,38444
umpire-427413,umpire,427413,Tony Randazzo,34298
umpire-427424,umpire,427424,Jim Reynolds,29121
umpire-427454,umpire,427454,Paul Schrieber,4291
umpire-427457,umpire,427457,Dale Scott,8388
umpire-427509,umpire,427509,Tim Timmons,28636
umpire-427520,umpire,427520,Larry Vanover,36686
umpire-427533,umpire,427533,Mark Wegner,41910
umpire-427534,umpire,427534,Bill Welke,28389
umpire-427537,umpire,427537,Hunter Wendelstedt,39776
umpire-427538,umpire,427538,Joe West,30319
umpire-427545,umpire,427545,Tim Welke,4177
umpire-427552,umpire,427552,Mike Winters,19677
umpire-427554,umpire,427554,Jim Wolf,41339
umpire-428442,umpire,428442,James Hoye,44269
umpire-429805,umpire,429805,Todd Tichenor,43258
umpire-431232,umpire,431232,Chad Fairchild,44738
umpire-482608,umpire,482608,Scott Barry,33062
umpire-482620,umpire,482620,Chris Conroy,39930
umpire-482631,umpire,482631,Mike Estabrook,43256
umpire-482641,umpire,482641,Adrian Johnson,45559
umpire-482663,umpire,482663,David Rackley,44914
umpire-482666,umpire,482666,D.J. Reyburn,44409
umpire-483561,umpire,483561,Lance Barrett,45452
umpire-483564,umpire,483564,Dan Bellino,46706
umpire-483569,umpire,483569,Vic Carapazza,45735
umpire-483630,umpire,483630,John Tumpane,43197
umpire-483912,umpire,483912,Mike Muchlinski,44711
umpire-483919,umpire,483919,Mark Ripperger,44560
umpire-484183,umpire,484183,Cory Blaser,42230
umpire-484198,umpire,484198,Alan Porter,44836
umpire-484499,umpire,484499,Manny Gonzalez,43772
umpire-485856,umpire,485856,Jonathan Parra,4042
umpire-486200,umpire,486200,David Arrieta,3154
umpire-489942,umpire,489942,Toby Basner,7141
umpire-489954,umpire,489954,Clint Fagan,11142
umpire-489985,umpire,489985,Chad Whitson,35804
umpire-490319,umpire,490319,Jordan Baker,45918
umpire-503077,umpire,503077,Adam Hamari,46877
umpire-503470,umpire,503470,Anthony Johnson,157
umpire-503490,umpire,503490,Chris Segal,41861
umpire-503493,umpire,503493,Sean Barber,38529
umpire-503502,umpire,503502,Ryan Blakney,45392
umpire-503586,umpire,503586,Tripp Gibson,44880
