model,band,pitches,predicted,observed,gap
baseline,-0.00-0.05,1862532,0.00486,0.00597,0.00111
baseline,0.05-0.10,145023,0.07249,0.08491,0.01242
baseline,0.10-0.15,93529,0.12363,0.13797,0.01434
baseline,0.15-0.20,71450,0.17407,0.18554,0.01147
baseline,0.20-0.25,60412,0.22446,0.23103,0.00657
baseline,0.25-0.30,52723,0.27453,0.2739,-0.00063
baseline,0.30-0.35,48825,0.32475,0.32031,-0.00445
baseline,0.35-0.40,46093,0.37473,0.36368,-0.01105
baseline,0.40-0.45,44120,0.42484,0.40596,-0.01888
baseline,0.45-0.50,43447,0.47502,0.44977,-0.02525
baseline,0.50-0.55,44009,0.52509,0.49119,-0.0339
baseline,0.55-0.60,45026,0.57517,0.54144,-0.03373
baseline,0.60-0.65,46898,0.62535,0.58936,-0.03598
baseline,0.65-0.70,50866,0.67531,0.64173,-0.03358
baseline,0.70-0.75,56184,0.72549,0.69481,-0.03069
baseline,0.75-0.80,64271,0.77575,0.75272,-0.02303
baseline,0.80-0.85,78028,0.82588,0.81216,-0.01373
baseline,0.85-0.90,104206,0.8766,0.8723,-0.0043
baseline,0.90-0.95,168000,0.92764,0.93717,0.00954
baseline,0.95-1.00,578197,0.98185,0.99171,0.00986
gradient boosting,-0.00-0.05,1888001,0.00495,0.00437,-0.00058
gradient boosting,0.05-0.10,141092,0.07252,0.07161,-0.00092
gradient boosting,0.10-0.15,92183,0.12359,0.12467,0.00107
gradient boosting,0.15-0.20,72353,0.17417,0.17753,0.00337
gradient boosting,0.20-0.25,61228,0.22456,0.23019,0.00563
gradient boosting,0.25-0.30,52384,0.27438,0.28144,0.00706
gradient boosting,0.30-0.35,46848,0.32459,0.32853,0.00394
gradient boosting,0.35-0.40,44413,0.37498,0.38117,0.0062
gradient boosting,0.40-0.45,42838,0.42482,0.42311,-0.00171
gradient boosting,0.45-0.50,41482,0.4749,0.46878,-0.00611
gradient boosting,0.50-0.55,41374,0.52508,0.52115,-0.00393
gradient boosting,0.55-0.60,40477,0.57513,0.56877,-0.00636
gradient boosting,0.60-0.65,41698,0.62517,0.6196,-0.00557
gradient boosting,0.65-0.70,44720,0.67546,0.66313,-0.01233
gradient boosting,0.70-0.75,51112,0.72549,0.71416,-0.01133
gradient boosting,0.75-0.80,57144,0.77587,0.7696,-0.00627
gradient boosting,0.80-0.85,69580,0.826,0.82163,-0.00437
gradient boosting,0.85-0.90,89330,0.87643,0.87604,-0.00039
gradient boosting,0.90-0.95,137883,0.9272,0.93017,0.00297
gradient boosting,0.95-1.00,647699,0.98671,0.98967,0.00296
