person_key,effect_per_100,se_per_100,extra_strikes,clears_zero,qualified
umpire-427013,-0.98635,0.12739,-446.67739,True,True
umpire-427019,1.16971,0.18732,383.60717,True,True
umpire-427044,0.09862,0.1389,41.80695,False,True
umpire-427053,-0.46706,0.14963,-188.56786,True,True
umpire-427058,0.09267,0.18319,21.15569,False,True
umpire-427081,0.83561,0.17074,172.51232,True,True
umpire-427090,-0.0609,0.18069,-14.28793,False,True
umpire-427093,1.44216,0.14803,598.74044,True,True
umpire-427095,0.72371,0.1704,158.46408,True,True
umpire-427099,1.59934,0.25272,138.35884,True,True
umpire-427103,-1.19009,0.17868,-271.81626,True,True
umpire-427108,-1.69175,0.23534,-236.57381,True,True
umpire-427113,0.38763,0.1339,171.70461,True,True
umpire-427115,-0.00151,0.26484,-0.12928,False,True
umpire-427128,0.73949,0.14403,271.93309,True,True
umpire-427129,0.15748,0.16823,57.78316,False,True
umpire-427139,3.05883,0.15541,1383.75339,True,True
umpire-427144,-0.68311,0.17428,-148.07119,True,True
umpire-427156,0.86848,0.24625,161.31208,True,True
umpire-427164,-0.0473,0.13044,-20.59834,False,True
umpire-427168,0.67066,0.1776,155.64694,True,True
umpire-427184,-0.75718,0.16156,-202.41777,True,True
umpire-427192,1.50889,0.197,257.70356,True,True
umpire-427197,-0.70008,0.14253,-308.96061,True,True
umpire-427206,-0.76823,0.15757,-199.26233,True,True
umpire-427220,0.7934,0.18695,286.67789,True,True
umpire-427224,0.59625,0.18962,148.61497,True,True
umpire-427229,1.09618,0.313,87.72761,True,True
umpire-427235,-0.18824,0.16702,-50.40405,False,True
umpire-427243,0.00739,0.13493,3.4285,False,True
umpire-427248,0.79601,0.15175,343.89287,True,True
umpire-427261,-0.43963,0.25425,-30.69956,False,True
umpire-427269,-0.3788,0.23602,-66.4257,False,True
umpire-427286,0.36961,0.14964,124.65905,True,True
umpire-427292,1.12128,0.16991,389.65578,True,True
umpire-427299,-0.23171,0.21474,-47.36987,False,True
umpire-427315,-1.61624,0.11844,-753.2348,True,True
umpire-427339,-0.37895,0.15189,-128.35406,True,True
umpire-427344,2.41948,0.14497,1143.93003,True,True
umpire-427361,-0.43404,0.21224,-96.05389,True,True
umpire-427362,0.84447,0.13879,311.14512,True,True
