person_key,season,effect_per_100,se_per_100,pitches
umpire-427013,2015,-0.63038,0.40346,4000
umpire-427019,2015,1.48142,0.45599,4650
umpire-427044,2015,-0.72628,0.53184,3863
umpire-427053,2015,-0.98,0.50532,4451
umpire-427058,2015,-0.27493,0.53143,3982
umpire-427081,2015,0.50547,0.35002,4149
umpire-427090,2015,-0.65847,0.46171,4242
umpire-427093,2015,1.46059,0.32406,4217
umpire-427095,2015,-0.1037,0.61766,3600
umpire-427099,2015,1.15575,0.41768,4424
umpire-427103,2015,-1.26935,0.32649,4247
umpire-427108,2015,-2.46087,0.32282,3652
umpire-427113,2015,-0.67152,0.47165,4700
umpire-427115,2015,-0.1071,0.45083,2388
umpire-427128,2015,-0.71648,0.49352,4157
umpire-427129,2015,0.37989,0.62105,3037
umpire-427139,2015,2.9322,0.41748,4255
umpire-427144,2015,-1.41938,0.37075,4511
umpire-427156,2015,2.33637,0.41482,4238
umpire-427164,2015,-0.22551,0.37953,4531
umpire-427168,2015,0.30887,0.38167,4474
umpire-427184,2015,-2.33353,0.40584,4458
umpire-427192,2015,1.5554,0.53909,2828
umpire-427197,2015,-0.62113,0.42769,4406
umpire-427206,2015,-0.87876,0.349,3829
umpire-427220,2015,2.59939,0.40115,4757
umpire-427224,2015,0.10459,0.46666,3874
umpire-427229,2015,1.45396,0.42144,4402
umpire-427235,2015,-0.28089,0.48081,3880
umpire-427243,2015,0.27282,0.35672,4520
umpire-427248,2015,1.0938,0.4878,4458
umpire-427261,2015,-1.33583,0.44237,3178
umpire-427269,2015,-0.73059,0.41684,3543
umpire-427286,2015,-0.01031,0.54662,4259
umpire-427292,2015,2.43047,0.43117,4441
umpire-427299,2015,0.17436,0.88517,1560
umpire-427315,2015,-2.59002,0.48817,4136
umpire-427339,2015,-1.43439,0.32674,4919
umpire-427344,2015,3.75472,0.43775,4515
umpire-427361,2015,0.24176,0.56476,3568
umpire-427362,2015,1.11762,0.30367,4701
umpire-427366,2015,1.305,0.5224,3669
umpire-427413,2015,0.32586,0.5133,4010
umpire-427424,2015,-0.26591,0.40026,4633
umpire-427454,2015,-0.90601,0.51707,4291
umpire-427457,2015,-1.19997,0.51382,3892
umpire-427509,2015,0.19314,0.47519,4417
umpire-427520,2015,-0.54079,0.42199,4391
umpire-427533,2015,-1.14624,0.32086,4636
umpire-427534,2015,-0.66791,0.45007,3992
umpire-427537,2015,0.79625,0.40643,4223
umpire-427538,2015,-0.33132,0.50131,5035
umpire-427545,2015,1.31587,0.62783,4177
umpire-427552,2015,0.39313,0.49986,3844
umpire-427554,2015,0.6574,0.31451,4053
umpire-428442,2015,-1.89611,0.44298,3994
umpire-429805,2015,0.12657,0.54821,3675
umpire-431232,2015,0.28816,0.40344,3998
umpire-482608,2015,-1.06295,0.46878,2882
umpire-482620,2015,-1.01353,0.37892,4233
umpire-482631,2015,0.90657,0.61443,4406
umpire-482641,2015,0.86239,0.42728,4313
umpire-482663,2015,-0.59142,0.49776,3955
umpire-482666,2015,0.07485,0.5791,2875
umpire-483561,2015,1.85135,0.49342,4153
umpire-483564,2015,0.32958,0.50946,4427
umpire-483569,2015,1.17266,0.54147,4422
umpire-483630,2015,-0.15625,0.49499,4090
umpire-483912,2015,0.14464,0.5166,4170
umpire-483919,2015,1.46597,0.33202,4001
umpire-484183,2015,-0.00898,0.36978,4639
umpire-484198,2015,0.76488,0.54518,4155
umpire-484499,2015,0.51385,0.50496,4835
umpire-489942,2015,-0.00213,0.59277,2943
umpire-489954,2015,0.54691,0.45303,4383
umpire-489985,2015,1.51041,0.9043,135
umpire-490319,2015,0.24525,0.51741,4523
umpire-503077,2015,1.43307,0.34179,5159
umpire-503470,2015,-1.97453,1.11811,157
umpire-503490,2015,0.47627,0.40675,4071
umpire-503493,2015,-1.68748,0.69484,1743
umpire-503502,2015,-1.47477,0.5405,3097
umpire-503586,2015,-0.67482,0.41255,4217
umpire-504381,2015,1.15746,0.56248,3332
umpire-511890,2015,0.29691,0.52204,3454
umpire-521251,2015,-0.24251,0.51346,3084
umpire-521889,2015,-0.95423,0.84828,565
umpire-524988,2015,-3.67638,0.4809,1970
umpire-544563,2015,-1.46758,0.99805,777
umpire-547380,2015,-2.34851,0.52992,879
umpire-573596,2015,0.72553,0.41629,3195
umpire-573597,2015,-0.49105,0.36236,4715
catcher-150229,2015,-0.46539,0.4126,7434
catcher-408042,2015,-1.28278,0.82265,39
catcher-408242,2015,-0.27702,0.67437,294
catcher-424325,2015,0.91176,0.53322,3250
catcher-425772,2015,2.02661,0.61492,2074
catcher-425784,2015,1.13241,0.40432,6412
catcher-425877,2015,1.40503,0.38561,8829
catcher-425900,2015,-0.31803,0.59954,2441
catcher-430910,2015,0.12627,0.44351,6309
catcher-431145,2015,1.58544,0.38117,7694
catcher-434563,2015,-1.33972,0.37033,6115
catcher-434567,2015,0.86877,0.60568,3864
catcher-435064,2015,1.57127,0.49838,3079
catcher-435263,2015,0.97065,0.33704,8783
catcher-435559,2015,-0.23371,0.34486,8670
catcher-446192,2015,-1.2541,0.84736,67
catcher-446225,2015,-1.1559,1.10101,102
catcher-446308,2015,-0.42304,0.46691,4084
catcher-446653,2015,1.46371,0.65011,2824
catcher-449786,2015,0.44733,0.68102,2595
catcher-450317,2015,-1.31886,0.66582,1279
