season,role,spread,lo,hi,spread_se,people
2015,catcher,1.2237,1.11857,1.40481,0.08919,71
2016,catcher,1.30064,1.18766,1.42057,0.0723,78
2017,catcher,1.28642,1.14299,1.40654,0.08089,74
2018,catcher,1.06329,0.95993,1.17635,0.06859,83
2019,catcher,1.09302,0.93275,1.20913,0.08276,83
2020,catcher,0.73242,0.52259,0.91559,0.11772,60
2021,catcher,0.80785,0.7062,0.98073,0.08513,79
2022,catcher,0.93864,0.81432,1.05311,0.07344,82
2023,catcher,0.98688,0.87485,1.1005,0.06641,76
2024,catcher,0.94481,0.82073,1.05709,0.07182,77
2025,catcher,0.74187,0.60537,0.86509,0.07636,77
2015,pitcher,0.82062,0.5918,0.96756,0.11738,251
2016,pitcher,0.76423,0.46946,0.83098,0.11246,254
2017,pitcher,0.8749,0.58005,0.93463,0.11257,279
2018,pitcher,0.76653,0.48933,0.82474,0.10674,265
2019,pitcher,0.77912,0.47712,0.82645,0.10448,269
2020,pitcher,0.64321,0.0,0.97583,0.3416,43
2021,pitcher,0.42243,0.0,0.58312,0.18609,260
2022,pitcher,0.49595,0.09323,0.62577,0.15631,250
2023,pitcher,0.62019,0.36832,0.7371,0.12494,272
2024,pitcher,0.46846,0.0,0.56496,0.17988,260
2025,pitcher,0.57907,0.1336,0.61826,0.15073,270
2015,umpire,1.1305,1.01054,1.20132,0.05941,87
2016,umpire,1.07099,0.94334,1.15282,0.06385,88
2017,umpire,0.91229,0.75441,1.059,0.09039,88
2018,umpire,0.99664,0.89269,1.06394,0.05441,88
2019,umpire,0.9797,0.8503,1.0483,0.0611,89
2020,umpire,1.08166,0.91597,1.27919,0.1114,72
2021,umpire,0.96457,0.86299,1.06398,0.06362,94
2022,umpire,0.92336,0.82521,1.01083,0.05704,90
2023,umpire,1.03129,0.92535,1.1044,0.05679,90
2024,umpire,1.06036,0.96696,1.14642,0.05669,88
2025,umpire,0.82688,0.69889,0.91378,0.06421,84
