count,stand,area_sq_ft,pitches
0-0,Any,3.52,1288287
0-0,L,3.37,542032
0-0,R,3.48,746255
0-1,Any,2.99,466697
0-1,L,2.86,193417
0-1,R,2.99,273280
0-2,Any,2.78,217195
0-2,L,2.25,87246
0-2,R,2.8,129949
1-0,Any,3.58,407996
1-0,L,3.43,179671
1-0,R,3.48,228325
1-1,Any,3.14,328423
1-1,L,3.0,141303
1-1,R,3.2,187120
1-2,Any,2.92,273291
1-2,L,2.78,113334
1-2,R,2.92,159957
2-0,Any,3.69,138291
2-0,L,3.54,62944
2-0,R,3.67,75347
2-1,Any,3.24,155589
2-1,L,3.21,69128
2-1,R,3.31,86461
2-2,Any,2.97,196969
2-2,L,2.93,84324
2-2,R,2.99,112645
3-0,Any,3.78,67894
3-0,L,3.64,31699
3-0,R,3.77,36195
3-1,Any,3.38,68967
3-1,L,3.36,31752
3-1,R,3.35,37215
3-2,Any,3.16,94240
3-2,L,2.91,42201
3-2,R,3.1,52039
Any,Any,3.33,3703839
Any,L,3.27,1579051
Any,R,3.36,2124788
