count,stand,plate_x,plate_z,called_strike_rate
Any,Any,-1.95,0.55,0.0
Any,Any,-1.95,0.65,0.0
Any,Any,-1.95,0.75,0.0
Any,Any,-1.95,0.85,0.0
Any,Any,-1.95,0.95,0.0
Any,Any,-1.95,1.05,0.0
Any,Any,-1.95,1.15,0.0
Any,Any,-1.95,1.25,0.0
Any,Any,-1.95,1.35,0.0
Any,Any,-1.95,1.45,0.0
Any,Any,-1.95,1.55,0.0
Any,Any,-1.95,1.65,0.0
Any,Any,-1.95,1.75,0.0
Any,Any,-1.95,1.85,0.00025
Any,Any,-1.95,1.95,0.00023
Any,Any,-1.95,2.05,0.00022
Any,Any,-1.95,2.15,0.0
Any,Any,-1.95,2.25,0.0
Any,Any,-1.95,2.35,0.0
Any,Any,-1.95,2.45,0.00018
Any,Any,-1.95,2.55,0.00018
Any,Any,-1.95,2.65,0.00018
Any,Any,-1.95,2.75,0.0
Any,Any,-1.95,2.85,0.0
Any,Any,-1.95,2.95,0.0
Any,Any,-1.95,3.05,0.00019
Any,Any,-1.95,3.15,0.00021
Any,Any,-1.95,3.25,0.00022
Any,Any,-1.95,3.35,0.0
Any,Any,-1.95,3.45,0.0
Any,Any,-1.95,3.55,0.0
Any,Any,-1.95,3.65,0.0
Any,Any,-1.95,3.75,0.0
Any,Any,-1.95,3.85,0.0
Any,Any,-1.95,3.95,0.0
Any,Any,-1.95,4.05,0.0
Any,Any,-1.95,4.15,0.0
Any,Any,-1.95,4.25,0.0
Any,Any,-1.95,4.35,0.0
Any,Any,-1.95,4.45,0.0
Any,Any,-1.85,0.55,0.0
Any,Any,-1.85,0.65,0.0
Any,Any,-1.85,0.75,0.0
Any,Any,-1.85,0.85,0.0
Any,Any,-1.85,0.95,0.0
Any,Any,-1.85,1.05,0.0
Any,Any,-1.85,1.15,0.0
Any,Any,-1.85,1.25,0.0
Any,Any,-1.85,1.35,0.0
Any,Any,-1.85,1.45,0.0
Any,Any,-1.85,1.55,0.0
Any,Any,-1.85,1.65,0.0
Any,Any,-1.85,1.75,0.0
Any,Any,-1.85,1.85,0.00014
Any,Any,-1.85,1.95,0.00013
Any,Any,-1.85,2.05,0.00012
Any,Any,-1.85,2.15,0.0
Any,Any,-1.85,2.25,0.0
Any,Any,-1.85,2.35,0.0
Any,Any,-1.85,2.45,1e-04
Any,Any,-1.85,2.55,1e-04
Any,Any,-1.85,2.65,0.0002
Any,Any,-1.85,2.75,1e-04
Any,Any,-1.85,2.85,1e-04
Any,Any,-1.85,2.95,0.0
Any,Any,-1.85,3.05,0.00011
Any,Any,-1.85,3.15,0.00012
Any,Any,-1.85,3.25,0.00013
Any,Any,-1.85,3.35,0.0
Any,Any,-1.85,3.45,0.0
Any,Any,-1.85,3.55,0.0
Any,Any,-1.85,3.65,0.0
Any,Any,-1.85,3.75,0.0
Any,Any,-1.85,3.85,0.0
Any,Any,-1.85,3.95,0.0
